what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1521775034782
error,log,,,"CPU master group not set.",1521775034785
error,log,,,"SOPC design not set.",1521775034790
error,log,,,"CPU module not set.",1521775034793
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775034797
error,log,,,"CPU architecture type not set. ",1521775034800
error,log,,,"CPU master group not set.",1521775034803
error,log,,,"SOPC design not set.",1521775034816
error,log,,,"CPU module not set.",1521775034819
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775034823
error,log,,,"CPU architecture type not set. ",1521775034826
error,log,,,"CPU master group not set.",1521775034829
error,log,,,"Connected system ID hash not found on target at expected base address.",1521775034832
error,log,,,"Connected system timestamp not found on target at expected base address.",1521775034836
error,log,,,"SOPC design not set.",1521775034839
error,log,,,"CPU module not set.",1521775034842
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775034845
error,log,,,"CPU architecture type not set. ",1521775034848
error,log,,,"CPU master group not set.",1521775034852
error,log,,,"Connected system ID hash not found on target at expected base address.",1521775034855
error,log,,,"Connected system timestamp not found on target at expected base address.",1521775034858
error,log,,,"SOPC design not set.",1521775034867
error,log,,,"CPU module not set.",1521775034870
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775034874
error,log,,,"CPU architecture type not set. ",1521775034878
error,log,,,"CPU master group not set.",1521775034882
error,log,,,"SOPC design not set.",1521775034889
error,log,,,"CPU module not set.",1521775034893
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775034896
error,log,,,"CPU architecture type not set. ",1521775034900
error,log,,,"CPU master group not set.",1521775034904
error,log,,,"SOPC design not set.",1521775034911
error,log,,,"CPU module not set.",1521775034914
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775034918
error,log,,,"SOPC design not set.",1521775034921
error,log,,,"CPU architecture type not set. ",1521775034925
error,log,,,"CPU module not set.",1521775034928
error,log,,,"CPU master group not set.",1521775034931
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775034934
error,log,,,"CPU architecture type not set. ",1521775034941
error,log,,,"CPU master group not set.",1521775034947
error,log,,,"SOPC design not set.",1521775035058
error,log,,,"CPU module not set.",1521775035061
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775035064
error,log,,,"CPU architecture type not set. ",1521775035067
error,log,,,"CPU master group not set.",1521775035070
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1521775035150
started,bundle,org.eclipse.cdt.launch,6.0.0.201002161416,"org.eclipse.cdt.launch",1521775035155
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521775036583
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521775037053
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1521775067762
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1521775067762
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1521775067763
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1521775067763
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1521775067763
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1521775067764
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1521775067764
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1521775067765
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1521775067765
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1521775067766
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1521775067766
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1521775067766
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1521775067766
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1521775067767
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1521775067768
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1521775067768
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1521775067768
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1521775067769
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1521775067769
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1521775067769
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1521775067770
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1521775067772
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1521775067773
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1521775067773
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1521775067773
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1521775067774
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1521775067774
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1521775067774
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1521775067775
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1521775067775
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1521775067775
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1521775067776
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1521775067776
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1521775067776
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1521775067777
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1521775067777
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1521775067777
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1521775067777
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1521775067778
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1521775067778
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1521775067779
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1521775067779
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1521775067780
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1521775067780
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1521775067780
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1521775067781
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1521775067781
started,bundle,com.altera.sbtgui.integration,10.1.0.153,"com.altera.sbtgui.integration",1521775067782
started,bundle,com.altera.sbtgui.launch,10.1.0.153,"com.altera.sbtgui.launch",1521775067782
started,bundle,com.altera.sbtgui.project,10.1.0.153,"com.altera.sbtgui.project",1521775067782
started,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1521775067783
started,bundle,com.altera.systemconsole,10.1.0.153,"com.altera.systemconsole",1521775067783
started,bundle,com.altera.utilities,10.1.0.153,"com.altera.utilities",1521775067783
started,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1521775067783
started,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1521775067783
started,bundle,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.ui",1521775067784
started,bundle,org.eclipse.cdt.managedbuilder.core,6.0.0.201002161416,"org.eclipse.cdt.managedbuilder.core",1521775067786
