what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774578061
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774580138
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1521774583872
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774584136
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774586288
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774586303
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774589796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774598855
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774606364
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1521774607501
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1521774615885
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774619761
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774622473
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774636761
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774662433
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521774666555
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1521774670251
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774673880
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774682288
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774682418
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774685323
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521774810667
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774813501
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774813707
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774818281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774820366
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1521774822654
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774822920
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774834890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774835162
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1521774838628
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1521774838801
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521774857799
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1521774867412
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1521774889742
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1521774890513
