what,kind,bundleId,bundleVersion,description,time
error,log,,,"Expected base address of system ID component is undefined.",1521775107296
error,log,,,"SOPC design not set.",1521775107300
error,log,,,"CPU module not set.",1521775107303
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775107306
error,log,,,"CPU architecture type not set. ",1521775107310
error,log,,,"CPU master group not set.",1521775107313
error,log,,,"Connected system ID hash not found on target at expected base address.",1521775107316
error,log,,,"Connected system timestamp not found on target at expected base address.",1521775107319
error,log,,,"SOPC design not set.",1521775107323
error,log,,,"CPU module not set.",1521775107326
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775107330
error,log,,,"CPU architecture type not set. ",1521775107333
error,log,,,"CPU master group not set.",1521775107337
error,log,,,"SOPC design not set.",1521775107344
error,log,,,"CPU module not set.",1521775107347
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775107351
error,log,,,"CPU architecture type not set. ",1521775107357
error,log,,,"SOPC design not set.",1521775107361
error,log,,,"CPU master group not set.",1521775107364
error,log,,,"CPU module not set.",1521775107367
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775107374
error,log,,,"SOPC design not set.",1521775107377
error,log,,,"CPU architecture type not set. ",1521775107380
error,log,,,"CPU module not set.",1521775107383
error,log,,,"CPU master group not set.",1521775107387
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775107390
error,log,,,"CPU architecture type not set. ",1521775107397
error,log,,,"CPU master group not set.",1521775107400
error,log,,,"SOPC design not set.",1521775107495
error,log,,,"CPU module not set.",1521775107500
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775107505
error,log,,,"CPU architecture type not set. ",1521775107508
error,log,,,"CPU master group not set.",1521775107512
error,log,,,"SOPC design not set.",1521775109733
error,log,,,"CPU module not set.",1521775109736
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775109739
error,log,,,"CPU architecture type not set. ",1521775109742
error,log,,,"CPU master group not set.",1521775109745
error,log,,,"SOPC design not set.",1521775109749
error,log,,,"CPU module not set.",1521775109752
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775109755
error,log,,,"CPU architecture type not set. ",1521775109759
error,log,,,"CPU master group not set.",1521775109762
error,log,,,"Expected base address of system ID component is undefined.",1521775109765
error,log,,,"SOPC design not set.",1521775109768
error,log,,,"CPU module not set.",1521775109771
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1521775109777
